0,frequency_of_stopping_time(1)
1,frequency_of_stopping_time(1)
2,frequency_of_stopping_time(1)
3,frequency_of_stopping_time(1)
4,frequency_of_stopping_time(1)
5,frequency_of_stopping_time(2)
6,frequency_of_stopping_time(2)
7,frequency_of_stopping_time(4)
8,frequency_of_stopping_time(4)
9,frequency_of_stopping_time(6)
10,frequency_of_stopping_time(6)
11,frequency_of_stopping_time(8)
12,frequency_of_stopping_time(10)
13,frequency_of_stopping_time(14)
14,frequency_of_stopping_time(18)
15,frequency_of_stopping_time(24)
16,frequency_of_stopping_time(29)
17,frequency_of_stopping_time(36)
18,frequency_of_stopping_time(44)
19,frequency_of_stopping_time(58)
20,frequency_of_stopping_time(71)
21,frequency_of_stopping_time(90)
22,frequency_of_stopping_time(112)
23,frequency_of_stopping_time(132)
24,frequency_of_stopping_time(168)
25,frequency_of_stopping_time(215)
26,frequency_of_stopping_time(238)
27,frequency_of_stopping_time(312)
28,frequency_of_stopping_time(313)
29,frequency_of_stopping_time(413)
30,frequency_of_stopping_time(548)
31,frequency_of_stopping_time(509)
32,frequency_of_stopping_time(695)
33,frequency_of_stopping_time(623)
34,frequency_of_stopping_time(822)
35,frequency_of_stopping_time(1128)
36,frequency_of_stopping_time(894)
37,frequency_of_stopping_time(1272)
38,frequency_of_stopping_time(1795)
39,frequency_of_stopping_time(1342)
40,frequency_of_stopping_time(1923)
41,frequency_of_stopping_time(1308)
42,frequency_of_stopping_time(1954)
43,frequency_of_stopping_time(2880)
44,frequency_of_stopping_time(1866)
45,frequency_of_stopping_time(2819)
46,frequency_of_stopping_time(2110)
47,frequency_of_stopping_time(2615)
48,frequency_of_stopping_time(4021)
49,frequency_of_stopping_time(2305)
50,frequency_of_stopping_time(3645)
51,frequency_of_stopping_time(4756)
52,frequency_of_stopping_time(3136)
53,frequency_of_stopping_time(5030)
54,frequency_of_stopping_time(2566)
55,frequency_of_stopping_time(4247)
56,frequency_of_stopping_time(6880)
57,frequency_of_stopping_time(3401)
58,frequency_of_stopping_time(5690)
59,frequency_of_stopping_time(3056)
60,frequency_of_stopping_time(4529)
61,frequency_of_stopping_time(7666)
62,frequency_of_stopping_time(3493)
63,frequency_of_stopping_time(6048)
64,frequency_of_stopping_time(8232)
65,frequency_of_stopping_time(4586)
66,frequency_of_stopping_time(8028)
67,frequency_of_stopping_time(3365)
68,frequency_of_stopping_time(6031)
69,frequency_of_stopping_time(10624)
70,frequency_of_stopping_time(4403)
71,frequency_of_stopping_time(7941)
72,frequency_of_stopping_time(3080)
73,frequency_of_stopping_time(5696)
74,frequency_of_stopping_time(10380)
75,frequency_of_stopping_time(3998)
76,frequency_of_stopping_time(7474)
77,frequency_of_stopping_time(9271)
78,frequency_of_stopping_time(5231)
79,frequency_of_stopping_time(9785)
80,frequency_of_stopping_time(3599)
81,frequency_of_stopping_time(6873)
82,frequency_of_stopping_time(11586)
83,frequency_of_stopping_time(4698)
84,frequency_of_stopping_time(9034)
85,frequency_of_stopping_time(3142)
86,frequency_of_stopping_time(6142)
87,frequency_of_stopping_time(11829)
88,frequency_of_stopping_time(4091)
89,frequency_of_stopping_time(8021)
90,frequency_of_stopping_time(6368)
91,frequency_of_stopping_time(5352)
92,frequency_of_stopping_time(10476)
93,frequency_of_stopping_time(3406)
94,frequency_of_stopping_time(6861)
95,frequency_of_stopping_time(12169)
96,frequency_of_stopping_time(4500)
97,frequency_of_stopping_time(9049)
98,frequency_of_stopping_time(2912)
99,frequency_of_stopping_time(5891)
100,frequency_of_stopping_time(11781)
101,frequency_of_stopping_time(3824)
102,frequency_of_stopping_time(7794)
